Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Columbus Blue Jackets,Dmitri Voronkov,"C,LW","$4,175,000",1,RFA then UFA
Columbus Blue Jackets,Kirill Marchenko,"RW,LW","$3,850,000",1,RFA then UFA
Columbus Blue Jackets,Mathieu Olivier,"RW,LW","$3,000,000",5,UFA
Columbus Blue Jackets,Miles Wood,LW,"$2,500,000",3,UFA
Columbus Blue Jackets,Kent Johnson,"LW,RW","$1,800,000",1,RFA then UFA
Columbus Blue Jackets,Ryan Lomberg,LW,"$1,300,000",2,UFA
Columbus Blue Jackets,Isac Lundestrom,"C,LW","$1,300,000",1,UFA
Columbus Blue Jackets,Danton Heinen,"LW,C","$1,000,000",1,UFA
Columbus Blue Jackets,Luca Del Bel Belluz,"C,LW","$859,999",1,RFA
Columbus Blue Jackets,Adam Fantilli,C,,4,Unsigned RFA/UFA
Columbus Blue Jackets,Zach Werenski,LD,"$9,583,334",2,UFA
Columbus Blue Jackets,Ivan Provorov,"LD,RD","$8,500,000",6,UFA
Columbus Blue Jackets,Damon Severson,"LD,RD","$6,250,000",5,UFA
Columbus Blue Jackets,Dante Fabbro,"RD,LD","$4,125,000",3,UFA
Columbus Blue Jackets,Erik Gudbranson,RD,"$1,750,000",1,UFA
Columbus Blue Jackets,Jake Christiansen,LD,"$975,000",1,UFA
Columbus Blue Jackets,Denton Mateychuk,"LD,RD","$886,666",1,RFA
Columbus Blue Jackets,Elvis Merzlikins,G,"$5,400,000",1,UFA
Columbus Blue Jackets,Jet Greaves,G,"$5,000,000",3,UFA
Columbus Blue Jackets,Pheonix Copley,G,"$850,000",1,UFA
Columbus Blue Jackets,Oiva Keskinen,C,"$960,000",2,RFA
Columbus Blue Jackets,Joshua Eernisse,,"$952,500",1,RFA then UFA
Columbus Blue Jackets,Riley Bezeau,,"$940,000",1,RFA then UFA
Columbus Blue Jackets,Luca Pinelli,C,"$934,166",2,RFA
Columbus Blue Jackets,Max McCue,C,"$933,333",1,RFA then UFA
Columbus Blue Jackets,Luke Tuch,LW,"$875,000",2,RFA then UFA
Columbus Blue Jackets,Mikael Pyyhtia,"LW,RW","$875,000",2,RFA then UFA
Columbus Blue Jackets,Jack Williams,"RW,C","$875,000",2,RFA then UFA
Columbus Blue Jackets,Jordan Dumais,RW,"$859,999",1,RFA
Columbus Blue Jackets,James Malatesta,"LW,C","$850,000",1,RFA then UFA
Columbus Blue Jackets,Owen Sillinger,"C,LW","$850,000",1,UFA
Columbus Blue Jackets,Boston Buckberger,,"$1,050,000",2,RFA then UFA
Columbus Blue Jackets,Charlie Elick,D,"$965,000",3,RFA
Columbus Blue Jackets,Guillaume Richard,D,"$942,500",1,RFA then UFA
Columbus Blue Jackets,Luca Marrelli,D,"$931,944",3,RFA
Columbus Blue Jackets,Caleb MacDonald,D,"$922,500",1,RFA then UFA
Columbus Blue Jackets,Colton White,LD,"$875,000",2,UFA
Columbus Blue Jackets,Corson Ceulemans,D,"$850,000",1,RFA then UFA
Columbus Blue Jackets,Tim Berni,"LD,RD",,1,Unsigned RFA/UFA
Columbus Blue Jackets,Sergei Ivanov,G,"$970,000",2,RFA
Columbus Blue Jackets,Evan Gardner,G,"$963,889",3,RFA
Columbus Blue Jackets,Nolan Lalonde,G,"$860,556",1,RFA
Dallas Stars,Mikko Rantanen,RW,"$12,000,000",7,UFA
Dallas Stars,Jason Robertson,"LW,RW","$12,000,000",1,UFA
Dallas Stars,Tyler Seguin,"C,RW","$9,850,000",1,UFA
Dallas Stars,Roope Hintz,"C,LW","$8,450,000",5,UFA
